label,M,N,K,AI,kernel_ms,tflops,eff_bw_gbps,tc_util_pct,bw_util_pct,bottleneck
decode-QKV-bs1,8,4096,4096,7.9534,0.139264,1.92753,242.353,1.54202,27.0182,MEMORY-BOUND
decode-FFN_up-bs1,8,4096,11008,7.97284,0.349184,2.06602,259.132,1.65281,28.8887,MEMORY-BOUND
decode-FFN_down-bs1,8,11008,4096,7.96311,0.239616,3.01073,378.085,2.40859,42.15,MEMORY-BOUND
decode-QKV-bs32,32,4096,4096,31.2672,0.140288,7.65384,244.788,6.12307,27.2897,MEMORY-BOUND
decode-FFN_up-bs32,32,4096,11008,31.5698,0.35328,8.16825,258.736,6.5346,28.8446,MEMORY-BOUND
decode-FFN_down-bs32,32,11008,4096,31.4178,0.239584,12.0445,383.367,9.63564,42.7388,MEMORY-BOUND
decode-QKV-bs128,128,4096,4096,117.029,0.154624,27.7768,237.351,22.2215,26.4605,MEMORY-BOUND
decode-FFN_up-bs128,128,4096,11008,121.384,0.38912,29.6637,244.379,23.7309,27.244,MEMORY-BOUND
decode-FFN_down-bs128,128,11008,4096,119.166,0.24576,46.9675,394.133,37.574,43.9391,MEMORY-BOUND
prefill-QKV-s512,512,4096,4096,372.364,0.242688,70.7899,190.11,56.632,21.1939,COMPUTE-BOUND
prefill-FFN_up-s512,512,4096,11008,420.353,0.620544,74.4039,177.003,59.5231,19.7328,COMPUTE-BOUND
prefill-FFN_down-s512,512,11008,4096,394.906,0.625664,73.795,186.867,59.036,20.8325,COMPUTE-BOUND
prefill-QKV-s2048,2048,4096,4096,819.2,0.853024,80.5598,98.3396,64.4479,10.9632,COMPUTE-BOUND
prefill-FFN_up-s2048,2048,4096,11008,1093.96,2.21392,83.4193,76.2542,66.7354,8.50103,COMPUTE-BOUND
prefill-FFN_down-s2048,2048,11008,4096,936.851,2.11968,87.1281,93.001,69.7024,10.368,COMPUTE-BOUND
prefill-QKV-s4096,4096,4096,4096,1024,1.56774,87.6667,85.612,70.1334,9.54426,COMPUTE-BOUND
prefill-FFN_up-s4096,4096,4096,11008,1492.61,4.29466,86.0062,57.6214,68.805,6.42379,COMPUTE-BOUND
prefill-FFN_down-s4096,4096,11008,4096,1214.68,4.17792,88.4094,72.7843,70.7275,8.11419,COMPUTE-BOUND
