label,size_elements,size_MB,kernel_ms,eff_bw_gbps,bw_util_pct
decode-bs1,4096,0.0156,0.0092,5.33,0.6
decode-bs8,32768,0.1250,0.0082,48.00,5.4
decode-bs32,131072,0.5000,0.0092,170.67,19.0
decode-bs64,262144,1.0000,0.0092,341.33,38.1
decode-bs128,524288,2.0000,0.0113,558.55,62.3
decode-bs256,1048576,4.0000,0.0225,558.55,62.3
prefill-s128,524288,2.0000,0.0113,558.55,62.3
prefill-s512,2097152,8.0000,0.0379,664.22,74.0
prefill-s1024,4194304,16.0000,0.0696,722.82,80.6
prefill-s2048,8388608,32.0000,0.1300,774.24,86.3
prefill-s4096,16777216,64.0000,0.2550,789.59,88.0
